"alpha","beta","sigma","convergence"
0.00812426123898836,3.4180805578685e-13,0.7490052256358,3.44151172399319e-05
0.0130873703422256,9.60724778205618e-09,0.895475051971948,4.62518859568322e-06
0.00573855876623141,4.36387439066287e-12,0.519070251936424,8.89009146478945e-05
0.00711819096831171,3.71081586629614e-12,0.694558253547112,6.64055977578105e-05
0.00767621835354531,4.64627511689858e-09,0.67933629515223,3.64254533231529e-06
0.0159655280317921,8.96978602077432e-09,0.738246193299736,1.74814374051455e-06
0.0190554735814945,1.29306216054411e-08,0.903180068768098,1.79090553157348e-05
0.00918012299204182,5.08534267583306e-09,0.779961919183065,1.18158491678372e-05
0.0193181940928578,9.70913751035793e-09,0.788315590539365,1.17496569193305e-05
0.0107242315836745,1.29749374870759e-08,0.784663177989416,3.62316817474119e-06
0.0109795462944905,6.73112525059461e-09,0.793673930166108,3.04760852276976e-05
0.0159089769046082,1.676996921333e-08,0.718705746797712,5.64412055087297e-05
0.0131889089941409,1.8487633085242e-08,0.650695961679846,4.05561122296416e-05
0.0111240013592187,3.53401317722049e-13,0.837949609023117,4.25343582903106e-05
0.00967196668278624,5.32502619700597e-13,0.883692250417263,4.8484468317189e-05
0.0133643305588465,2.90640053445658e-13,0.895121193474416,7.80069863225795e-05
0.0100194046252711,1.19571742292738e-09,0.82405656512336,1.66718237655979e-05
0.0103555095740189,2.96515309741968e-13,0.751902002620986,4.44889483930402e-05
0.0169279278888216,1.34585748739947e-08,0.658922433549097,1.07777935484446e-06
0.0108364029110425,5.30621451560125e-14,0.75306162845934,1.80699428835302e-05
0.00892814933560133,2.13566092927811e-13,0.717774994058213,7.5764636051905e-05
0.0102526102676616,1.45849673085209e-08,0.574395896889146,1.99740909860019e-06
0.00871527279441816,1.14377570646846e-09,0.873439534514262,1.04645951544802e-05
0.0236881457861552,4.1483126411788e-08,0.699421469884891,4.73541208532714e-05
0.0136172036461135,1.98372363451065e-08,0.830846149765769,4.16574434304969e-07
0.0089930658032729,1.4256367365966e-08,0.572674428426372,6.06879481531573e-05
0.00976294325607736,6.95770218342892e-09,0.625852347861465,3.52925428172648e-05
0.0111010312418782,8.01844776663675e-09,0.761601410885058,2.71347744162591e-05
0.0117923712092679,1.18218275936361e-08,0.676085719478053,2.92325180171699e-06
0.00892779363314079,7.06329117106852e-09,0.558639617909698,8.29848222259926e-05
0.00918681750800408,5.35577025467327e-10,0.824999829163561,1.57653904666002e-06
0.00832466252185975,9.27018693757742e-14,0.676501237215061,2.14180523546411e-05
